frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,192.168.0.119,192.168.0.1
0.037639600,189,192.168.0.119,141.226.228.48
0.037726100,1266,192.168.0.119,141.226.228.48
0.055221800,246,192.168.0.1,192.168.0.119
0.260190500,96,141.226.228.48,192.168.0.119
0.260190500,326,141.226.228.48,192.168.0.119
0.260299200,54,192.168.0.119,141.226.228.48
0.623169800,55,192.168.0.119,172.253.118.188
0.724647700,66,172.253.118.188,192.168.0.119
1.847325400,164,192.168.0.119,192.168.0.105
1.918665600,164,192.168.0.105,192.168.0.119
1.959204500,54,192.168.0.119,192.168.0.105
5.029468500,71,192.168.0.119,142.251.154.119
5.091845000,71,192.168.0.119,142.251.154.119
5.105277100,66,142.251.154.119,192.168.0.119
5.124582100,67,142.251.154.119,192.168.0.119
5.716687800,100,35.153.98.116,192.168.0.119
5.716687800,85,35.153.98.116,192.168.0.119
5.716687800,54,35.153.98.116,192.168.0.119
5.716783900,54,192.168.0.119,35.153.98.116
6.921216500,164,192.168.0.119,192.168.0.105
7.037985900,164,192.168.0.105,192.168.0.119
7.090915900,54,192.168.0.119,192.168.0.105
10.047770800,189,192.168.0.119,141.226.228.48
10.047870500,1266,192.168.0.119,141.226.228.48
10.347752900,55,192.168.0.119,34.111.72.164
10.347846000,96,141.226.228.48,192.168.0.119
10.347846000,326,141.226.228.48,192.168.0.119
10.347973600,54,192.168.0.119,141.226.228.48
10.381063800,66,34.111.72.164,192.168.0.119
11.225809600,55,192.168.0.119,103.43.90.21
11.764619200,55,192.168.0.119,103.43.90.21
11.897067900,54,192.168.0.119,224.0.0.22
12.051363900,164,192.168.0.119,192.168.0.105
12.157598400,164,192.168.0.105,192.168.0.119
