frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.113533800,164,192.168.0.105,192.168.0.119
0.155661200,54,192.168.0.119,192.168.0.105
0.312806300,66,192.168.0.119,164.90.208.185
0.563443800,66,192.168.0.119,164.90.208.185
3.091658500,42,,
3.115311000,42,,
4.316860600,66,192.168.0.119,164.90.208.185
4.567022000,66,192.168.0.119,164.90.208.185
5.117082800,164,192.168.0.119,192.168.0.105
5.230900300,164,192.168.0.105,192.168.0.119
5.283421800,54,192.168.0.119,192.168.0.105
10.247573700,164,192.168.0.119,192.168.0.105
10.350858700,164,192.168.0.105,192.168.0.119
10.397103300,54,192.168.0.119,192.168.0.105
