frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.110887500,164,192.168.0.105,192.168.0.119
0.155291000,54,192.168.0.119,192.168.0.105
1.317947900,54,192.168.0.119,224.0.0.22
1.766972900,55,192.168.0.119,142.250.183.195
4.730538900,42,,
4.730575800,42,,
5.125298500,164,192.168.0.119,192.168.0.105
5.230039800,164,192.168.0.105,192.168.0.119
5.282881600,54,192.168.0.119,192.168.0.105
9.272049600,55,192.168.0.119,142.250.183.14
10.236579700,164,192.168.0.119,192.168.0.105
