frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.068697700,71,192.168.0.119,142.250.193.100
0.107289500,164,192.168.0.105,192.168.0.119
0.125871700,68,142.250.193.100,192.168.0.119
0.148871300,54,192.168.0.119,192.168.0.105
0.400028900,55,192.168.0.119,142.251.10.188
0.498216400,66,142.251.10.188,192.168.0.119
2.312843700,54,192.168.0.119,224.0.0.22
3.316056500,54,192.168.0.119,224.0.0.22
5.109574300,164,192.168.0.119,192.168.0.105
5.173340200,164,192.168.0.105,192.168.0.119
5.219394400,54,192.168.0.119,192.168.0.105
7.612600600,97,192.168.0.119,4.213.25.240
7.705803500,228,4.213.25.240,192.168.0.119
7.746440400,54,192.168.0.119,4.213.25.240
9.171547700,55,192.168.0.119,23.58.120.201
9.199734700,66,23.58.120.201,192.168.0.119
9.218352700,55,192.168.0.119,23.58.120.201
9.228523100,66,23.58.120.201,192.168.0.119
9.311497600,55,192.168.0.119,142.250.182.46
9.342883800,66,142.250.182.46,192.168.0.119
9.533291800,71,192.168.0.119,142.250.193.100
9.591361300,66,142.250.193.100,192.168.0.119
10.176400900,164,192.168.0.119,192.168.0.105
10.244118700,164,192.168.0.105,192.168.0.119
10.284942400,54,192.168.0.119,192.168.0.105
10.789246800,55,192.168.0.119,142.250.193.74
10.821873100,66,142.250.193.74,192.168.0.119
