frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,55,192.168.0.119,172.253.118.188
0.113595600,66,172.253.118.188,192.168.0.119
2.261552500,164,192.168.0.119,192.168.0.105
2.382855700,164,192.168.0.105,192.168.0.119
2.432970500,54,192.168.0.119,192.168.0.105
6.187061600,54,192.168.0.119,224.0.0.22
7.198258800,54,192.168.0.119,224.0.0.22
7.390008800,164,192.168.0.119,192.168.0.105
7.625023500,164,192.168.0.105,192.168.0.119
7.676567200,54,192.168.0.119,192.168.0.105
8.663019300,55,192.168.0.119,74.125.130.119
8.738252700,66,74.125.130.119,192.168.0.119
9.080427100,55,192.168.0.119,142.250.193.35
9.130540300,66,142.250.193.35,192.168.0.119
