frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.113594300,164,192.168.0.105,192.168.0.119
0.156564000,54,192.168.0.119,192.168.0.105
4.846151400,89,192.168.0.119,192.168.0.1
4.893900300,226,192.168.0.1,192.168.0.119
4.894605400,66,192.168.0.119,20.42.65.84
5.124475800,164,192.168.0.119,192.168.0.105
5.148202800,66,20.42.65.84,192.168.0.119
5.148411300,54,192.168.0.119,20.42.65.84
5.149485400,266,192.168.0.119,20.42.65.84
5.231148500,164,192.168.0.105,192.168.0.119
5.281125800,54,192.168.0.119,192.168.0.105
5.400538800,2934,20.42.65.84,192.168.0.119
5.400538800,1409,20.42.65.84,192.168.0.119
5.400741800,54,192.168.0.119,20.42.65.84
5.405696300,212,192.168.0.119,20.42.65.84
5.656412700,105,20.42.65.84,192.168.0.119
5.656412700,123,20.42.65.84,192.168.0.119
5.656536700,54,192.168.0.119,20.42.65.84
5.661906600,141,192.168.0.119,20.42.65.84
5.661968900,944,192.168.0.119,20.42.65.84
5.662049500,92,192.168.0.119,20.42.65.84
5.662118800,1494,192.168.0.119,20.42.65.84
5.662118800,1494,192.168.0.119,20.42.65.84
5.662118800,1494,192.168.0.119,20.42.65.84
5.662118800,1348,192.168.0.119,20.42.65.84
5.912151000,54,20.42.65.84,192.168.0.119
5.912151000,54,20.42.65.84,192.168.0.119
5.912151000,54,20.42.65.84,192.168.0.119
5.920353100,92,20.42.65.84,192.168.0.119
5.971136700,54,192.168.0.119,20.42.65.84
6.221147200,338,20.42.65.84,192.168.0.119
6.228299800,54,192.168.0.119,20.42.65.84
6.478858700,54,20.42.65.84,192.168.0.119
6.478994500,54,192.168.0.119,20.42.65.84
10.240107800,164,192.168.0.119,192.168.0.105
10.273871300,164,192.168.0.105,192.168.0.119
10.323134600,54,192.168.0.119,192.168.0.105
10.357381000,54,192.168.0.119,52.123.252.34
10.358068800,66,192.168.0.119,52.123.252.34
10.409010400,54,52.123.252.34,192.168.0.119
10.409100000,54,192.168.0.119,52.123.252.34
10.409586900,66,52.123.252.34,192.168.0.119
10.409673900,54,192.168.0.119,52.123.252.34
10.411567400,967,192.168.0.119,52.123.252.34
10.466789100,2934,52.123.252.34,192.168.0.119
10.466789100,1191,52.123.252.34,192.168.0.119
10.466952700,54,192.168.0.119,52.123.252.34
10.469016600,134,192.168.0.119,52.123.252.34
10.469200600,688,192.168.0.119,52.123.252.34
10.520992400,529,52.123.252.34,192.168.0.119
10.521136500,54,192.168.0.119,52.123.252.34
10.521809800,54,52.123.252.34,192.168.0.119
10.681042100,1272,52.123.252.34,192.168.0.119
10.681177500,54,192.168.0.119,52.123.252.34
