frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.023743100,164,192.168.0.105,192.168.0.119
0.077951300,54,192.168.0.119,192.168.0.105
1.001231800,55,192.168.0.119,103.120.164.97
1.446640300,127,142.251.221.238,192.168.0.119
1.446955500,54,192.168.0.119,142.251.221.238
1.501206900,54,142.251.221.238,192.168.0.119
1.501304200,54,192.168.0.119,142.251.221.238
3.102212800,127,142.251.223.106,192.168.0.119
3.102212800,127,216.58.196.106,192.168.0.119
3.102683200,54,192.168.0.119,216.58.196.106
3.102815400,54,192.168.0.119,142.251.223.106
3.135059800,54,142.251.223.106,192.168.0.119
3.135059800,54,216.58.196.106,192.168.0.119
3.135206000,54,192.168.0.119,142.251.223.106
3.135299100,54,192.168.0.119,216.58.196.106
3.144645100,127,142.250.193.3,192.168.0.119
3.145184700,54,192.168.0.119,142.250.193.3
3.176699600,54,142.250.193.3,192.168.0.119
3.176794600,54,192.168.0.119,142.250.193.3
3.199224600,127,142.250.70.46,192.168.0.119
3.199638200,54,192.168.0.119,142.250.70.46
3.258763500,54,142.250.70.46,192.168.0.119
3.258849500,54,192.168.0.119,142.250.70.46
3.443291600,127,142.250.192.230,192.168.0.119
3.443957700,54,192.168.0.119,142.250.192.230
3.475943000,54,142.250.192.230,192.168.0.119
3.476026900,54,192.168.0.119,142.250.192.230
5.037784700,164,192.168.0.119,192.168.0.105
5.128469600,164,192.168.0.105,192.168.0.119
5.178436900,54,192.168.0.119,192.168.0.105
9.143680100,1286,192.168.0.119,142.251.222.78
9.143758200,1292,192.168.0.119,142.251.222.78
9.143788300,1292,192.168.0.119,142.251.222.78
9.143817900,1292,192.168.0.119,142.251.222.78
9.143844500,1148,192.168.0.119,142.251.222.78
9.213237100,71,142.251.222.78,192.168.0.119
9.213237100,67,142.251.222.78,192.168.0.119
9.239085700,75,192.168.0.119,142.251.222.78
9.239499500,68,142.251.222.78,192.168.0.119
9.280070900,142,142.251.222.78,192.168.0.119
9.280070900,188,142.251.222.78,192.168.0.119
9.297820500,79,192.168.0.119,142.251.222.78
9.374186200,68,142.251.222.78,192.168.0.119
9.758365900,54,192.168.0.119,224.0.0.22
10.133633500,164,192.168.0.119,192.168.0.105
10.139750400,164,192.168.0.105,192.168.0.119
10.194886700,54,192.168.0.119,192.168.0.105
