frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,54,192.168.0.119,142.250.193.100
0.602254800,164,192.168.0.119,192.168.0.105
0.708352600,54,192.168.0.105,192.168.0.119
0.708352600,164,192.168.0.105,192.168.0.119
0.751180600,54,192.168.0.119,192.168.0.105
2.522681100,1292,192.168.0.119,142.250.183.195
2.522758500,1292,192.168.0.119,142.250.183.195
2.522956000,66,192.168.0.119,142.250.183.195
2.571278700,66,142.250.183.195,192.168.0.119
2.571278700,82,142.250.183.195,192.168.0.119
2.571278700,1292,142.250.183.195,192.168.0.119
2.571430900,54,192.168.0.119,142.250.183.195
2.571973000,1292,142.250.183.195,192.168.0.119
2.571973000,1292,142.250.183.195,192.168.0.119
2.571973000,1292,142.250.183.195,192.168.0.119
2.572459000,1466,192.168.0.119,142.250.183.195
2.572459000,898,192.168.0.119,142.250.183.195
2.572733700,1292,142.250.183.195,192.168.0.119
2.572733700,1292,142.250.183.195,192.168.0.119
2.572943900,1292,192.168.0.119,142.250.183.195
2.573017400,81,192.168.0.119,142.250.183.195
2.582814300,82,192.168.0.119,142.250.183.195
2.604374800,54,142.250.183.195,192.168.0.119
2.604374800,54,142.250.183.195,192.168.0.119
2.604374800,212,142.250.183.195,192.168.0.119
2.605700300,131,192.168.0.119,142.250.183.195
2.605791200,116,192.168.0.119,142.250.183.195
2.606016200,1288,192.168.0.119,142.250.183.195
2.606053600,1292,192.168.0.119,142.250.183.195
2.606090500,1292,192.168.0.119,142.250.183.195
2.606115800,1292,192.168.0.119,142.250.183.195
2.606126000,1466,142.250.183.195,192.168.0.119
2.606126000,128,142.250.183.195,192.168.0.119
2.606142000,1292,192.168.0.119,142.250.183.195
2.606164000,1292,192.168.0.119,142.250.183.195
2.606184200,54,192.168.0.119,142.250.183.195
2.606198400,1292,192.168.0.119,142.250.183.195
2.606228700,1292,192.168.0.119,142.250.183.195
2.606303900,1292,192.168.0.119,142.250.183.195
2.606357900,215,192.168.0.119,142.250.183.195
2.606739900,144,192.168.0.119,142.250.183.195
2.638040300,998,142.250.183.195,192.168.0.119
2.638040300,163,142.250.183.195,192.168.0.119
2.638040300,69,142.250.183.195,192.168.0.119
2.638040300,65,142.250.183.195,192.168.0.119
2.638329200,73,192.168.0.119,142.250.183.195
2.638686400,65,142.250.183.195,192.168.0.119
2.638686400,65,142.250.183.195,192.168.0.119
2.638686400,65,142.250.183.195,192.168.0.119
2.638686400,1058,142.250.183.195,192.168.0.119
2.666217500,66,142.250.183.195,192.168.0.119
2.666687400,73,192.168.0.119,142.250.183.195
2.693078900,54,192.168.0.119,142.250.183.195
2.943041200,687,142.250.183.195,192.168.0.119
2.947777600,1186,142.250.183.195,192.168.0.119
2.947984200,77,192.168.0.119,142.250.183.195
2.953711500,101,142.250.183.195,192.168.0.119
2.990751400,74,192.168.0.119,142.250.183.195
3.006083700,66,142.250.183.195,192.168.0.119
3.019416900,64,142.250.183.195,192.168.0.119
3.019619500,75,192.168.0.119,142.250.183.195
3.215132200,54,192.168.0.119,224.0.0.22
4.417263200,71,192.168.0.119,142.250.193.100
4.474482100,66,142.250.193.100,192.168.0.119
5.723366100,164,192.168.0.119,192.168.0.105
5.828294900,164,192.168.0.105,192.168.0.119
5.880751500,54,192.168.0.119,192.168.0.105
8.897782000,70,192.168.0.119,192.168.0.1
8.950652600,121,192.168.0.1,192.168.0.119
8.954253500,66,192.168.0.119,142.250.193.35
8.985163300,66,142.250.193.35,192.168.0.119
8.985292400,54,192.168.0.119,142.250.193.35
8.985513600,254,192.168.0.119,142.250.193.35
9.016841600,54,142.250.193.35,192.168.0.119
9.016841600,276,142.250.193.35,192.168.0.119
9.022988200,74,192.168.0.119,192.168.0.1
9.060867800,179,192.168.0.1,192.168.0.119
9.062254200,66,192.168.0.119,23.204.253.51
9.070325600,54,192.168.0.119,142.250.193.35
9.072452100,66,23.204.253.51,192.168.0.119
9.072526200,54,192.168.0.119,23.204.253.51
9.072795100,281,192.168.0.119,23.204.253.51
9.082462700,54,23.204.253.51,192.168.0.119
9.082462700,317,23.204.253.51,192.168.0.119
9.088943400,83,192.168.0.119,192.168.0.1
9.125800700,297,192.168.0.1,192.168.0.119
9.126594200,66,192.168.0.119,23.58.120.240
9.132299700,54,192.168.0.119,23.204.253.51
9.136593100,66,23.58.120.240,192.168.0.119
9.136689400,54,192.168.0.119,23.58.120.240
9.136938500,342,192.168.0.119,23.58.120.240
9.146016100,54,23.58.120.240,192.168.0.119
9.147339900,322,23.58.120.240,192.168.0.119
9.154608200,336,192.168.0.119,23.58.120.240
9.164900800,54,23.58.120.240,192.168.0.119
9.164900800,322,23.58.120.240,192.168.0.119
9.214600500,54,192.168.0.119,23.58.120.240
9.385130500,55,192.168.0.119,103.120.164.97
9.390373600,54,103.120.164.97,192.168.0.119
9.410481400,74,192.168.0.119,192.168.0.1
9.445602200,230,192.168.0.1,192.168.0.119
