frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,54,192.168.0.119,98.82.157.231
0.000081900,54,192.168.0.119,44.215.117.206
0.000134300,54,192.168.0.119,44.199.181.5
0.000178900,54,192.168.0.119,44.199.181.5
0.000304900,1251,192.168.0.119,44.199.181.5
0.000342000,1494,192.168.0.119,44.199.181.5
0.000342000,1494,192.168.0.119,44.199.181.5
0.000342000,1494,192.168.0.119,44.199.181.5
0.000342000,463,192.168.0.119,44.199.181.5
0.274448500,54,44.199.181.5,192.168.0.119
0.277201500,54,44.199.181.5,192.168.0.119
0.284478200,670,44.199.181.5,192.168.0.119
0.336889500,54,192.168.0.119,44.199.181.5
0.622473100,54,192.168.0.119,98.82.157.231
0.638961300,164,192.168.0.119,192.168.0.105
0.654742600,54,192.168.0.119,44.199.181.5
0.654742700,54,192.168.0.119,44.215.117.206
0.672687300,54,192.168.0.119,44.199.181.5
0.733092100,164,192.168.0.105,192.168.0.119
0.787822700,54,192.168.0.119,192.168.0.105
1.741576700,54,192.168.0.119,98.82.157.231
1.850777600,54,192.168.0.119,44.199.181.5
1.850777500,54,192.168.0.119,44.215.117.206
1.897370200,54,192.168.0.119,44.199.181.5
3.239991000,54,192.168.0.119,224.0.0.22
3.968176700,54,192.168.0.119,98.82.157.231
4.239037600,54,192.168.0.119,44.215.117.206
4.239037600,54,192.168.0.119,44.199.181.5
4.349620900,54,192.168.0.119,44.199.181.5
4.755083800,54,192.168.0.119,224.0.0.22
5.235928000,42,,
5.258543100,42,,
5.388581900,1251,192.168.0.119,44.199.181.5
5.388685300,1494,192.168.0.119,44.199.181.5
5.388685300,159,192.168.0.119,44.199.181.5
5.738940100,164,192.168.0.119,192.168.0.105
5.760384400,54,44.199.181.5,192.168.0.119
5.760384400,648,44.199.181.5,192.168.0.119
5.760384400,98,44.199.181.5,192.168.0.119
5.760460900,54,192.168.0.119,44.199.181.5
5.849181100,168,192.168.0.105,192.168.0.119
5.849559300,164,192.168.0.119,192.168.0.105
5.851942500,164,192.168.0.105,192.168.0.119
5.894434300,54,192.168.0.105,192.168.0.119
5.896045600,54,192.168.0.119,192.168.0.105
6.747004800,54,192.168.0.119,224.0.0.22
8.400424300,54,192.168.0.119,98.82.157.231
9.012866800,54,192.168.0.119,44.215.117.206
9.028805400,54,192.168.0.119,44.199.181.5
9.238998100,54,192.168.0.119,44.199.181.5
10.858974400,164,192.168.0.119,192.168.0.105
10.880872200,54,192.168.0.105,192.168.0.119
10.880872200,164,192.168.0.105,192.168.0.119
10.936661500,54,192.168.0.119,192.168.0.105
11.802990500,55,192.168.0.119,172.253.118.188
11.919891800,66,172.253.118.188,192.168.0.119
