frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,55,192.168.0.119,34.111.72.164
0.052697400,66,34.111.72.164,192.168.0.119
0.836025800,55,192.168.0.119,103.43.90.21
0.958824900,110,142.251.154.119,192.168.0.119
1.386679400,55,192.168.0.119,103.43.90.21
2.539566200,164,192.168.0.119,192.168.0.105
2.567171800,164,192.168.0.105,192.168.0.119
2.619040200,54,192.168.0.119,192.168.0.105
4.650956700,189,192.168.0.119,141.226.228.48
4.651044400,1266,192.168.0.119,141.226.228.48
5.015206500,96,141.226.228.48,192.168.0.119
5.015206500,326,141.226.228.48,192.168.0.119
5.015259400,54,192.168.0.119,141.226.228.48
5.774981800,55,192.168.0.119,104.18.65.57
5.782381000,66,104.18.65.57,192.168.0.119
5.899865700,55,192.168.0.119,151.101.192.81
5.948596000,66,151.101.192.81,192.168.0.119
6.590536000,55,192.168.0.119,13.35.13.2
6.600933000,66,13.35.13.2,192.168.0.119
6.621869900,55,192.168.0.119,104.18.65.57
6.628807800,66,104.18.65.57,192.168.0.119
6.637856000,55,192.168.0.119,151.101.192.81
6.686530500,66,151.101.192.81,192.168.0.119
6.730441700,55,192.168.0.119,13.35.14.80
6.740482900,66,13.35.14.80,192.168.0.119
6.824626800,55,192.168.0.119,18.164.144.113
6.834752800,66,18.164.144.113,192.168.0.119
6.984053100,55,192.168.0.119,104.17.109.19
6.990845700,66,104.17.109.19,192.168.0.119
7.031045900,55,192.168.0.119,18.67.233.63
7.040284600,66,18.67.233.63,192.168.0.119
7.062365700,55,192.168.0.119,142.93.246.110
7.133707600,55,192.168.0.119,23.36.29.68
7.133714600,55,192.168.0.119,18.67.233.63
7.143317600,66,18.67.233.63,192.168.0.119
7.143317600,66,23.36.29.68,192.168.0.119
7.228181600,55,192.168.0.119,98.86.18.15
7.274374900,55,192.168.0.119,13.35.13.2
7.284163100,66,13.35.13.2,192.168.0.119
7.306108900,55,192.168.0.119,104.17.109.19
7.312768800,66,104.17.109.19,192.168.0.119
7.493136800,55,192.168.0.119,23.36.29.68
7.502733200,66,23.36.29.68,192.168.0.119
7.523909300,55,192.168.0.119,172.217.26.2
7.555961900,66,98.86.18.15,192.168.0.119
7.555961900,66,172.217.26.2,192.168.0.119
7.571729400,164,192.168.0.119,192.168.0.105
7.575504800,164,192.168.0.105,192.168.0.119
7.587221200,55,192.168.0.119,54.192.151.5
7.596458800,66,54.192.151.5,192.168.0.119
7.618341500,54,192.168.0.119,192.168.0.105
7.775888100,55,192.168.0.119,18.155.107.9
7.775918200,55,192.168.0.119,35.241.9.51
7.787409700,66,18.155.107.9,192.168.0.119
7.808935700,66,35.241.9.51,192.168.0.119
7.916095300,55,192.168.0.119,34.49.241.189
7.949510000,66,34.49.241.189,192.168.0.119
7.995901300,55,192.168.0.119,142.251.43.97
8.027811000,66,142.251.43.97,192.168.0.119
8.042935000,55,192.168.0.119,18.155.107.9
8.053078900,66,18.155.107.9,192.168.0.119
8.247420700,55,192.168.0.119,23.212.164.144
8.257650300,66,23.212.164.144,192.168.0.119
8.442056600,55,192.168.0.119,4.213.25.241
8.504443400,54,192.168.0.119,224.0.0.22
8.514462200,66,4.213.25.241,192.168.0.119
8.768757800,55,192.168.0.119,104.18.34.190
8.776452900,66,104.18.34.190,192.168.0.119
9.367126600,55,192.168.0.119,98.86.18.15
9.430055800,55,192.168.0.119,142.251.223.106
9.462018000,66,142.251.223.106,192.168.0.119
9.688119800,66,98.86.18.15,192.168.0.119
9.850294100,55,192.168.0.119,142.251.223.106
9.882574000,66,142.251.223.106,192.168.0.119
10.006531700,55,192.168.0.119,172.217.26.97
10.039217400,66,172.217.26.97,192.168.0.119
10.320521100,55,192.168.0.119,151.101.193.44
10.370223200,66,151.101.193.44,192.168.0.119
