frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,66,192.168.0.1,192.168.0.119
0.000115700,54,192.168.0.119,192.168.0.1
0.000341200,56,192.168.0.119,192.168.0.1
0.000368300,84,192.168.0.119,192.168.0.1
0.001106000,66,192.168.0.1,192.168.0.119
0.001162200,54,192.168.0.119,192.168.0.1
0.001420400,56,192.168.0.119,192.168.0.1
0.001477400,84,192.168.0.119,192.168.0.1
0.006493500,54,192.168.0.119,35.71.178.8
0.031193300,54,192.168.0.1,192.168.0.119
0.031193300,54,192.168.0.1,192.168.0.119
0.031193300,223,192.168.0.1,192.168.0.119
0.031400700,54,192.168.0.119,192.168.0.1
0.031966000,54,192.168.0.1,192.168.0.119
0.033475700,54,192.168.0.1,192.168.0.119
0.033475700,353,192.168.0.1,192.168.0.119
0.033654600,54,192.168.0.119,192.168.0.1
0.033973300,66,192.168.0.119,103.43.90.117
0.063655200,54,192.168.0.1,192.168.0.119
0.063745400,54,192.168.0.119,192.168.0.1
0.065376300,54,192.168.0.1,192.168.0.119
0.065397500,54,192.168.0.119,192.168.0.1
0.111984300,58,103.43.90.117,192.168.0.119
0.112225500,54,192.168.0.119,103.43.90.117
0.112994200,1494,192.168.0.119,103.43.90.117
0.112994200,336,192.168.0.119,103.43.90.117
0.113921500,54,192.168.0.119,35.213.187.112
0.130398200,1494,142.93.246.110,192.168.0.119
0.130398200,122,142.93.246.110,192.168.0.119
0.130554100,54,192.168.0.119,142.93.246.110
0.131371900,134,192.168.0.119,142.93.246.110
0.190990900,54,103.43.90.117,192.168.0.119
0.190990900,54,103.43.90.117,192.168.0.119
0.190990900,1494,103.43.90.117,192.168.0.119
0.190990900,1122,103.43.90.117,192.168.0.119
0.191204800,54,192.168.0.119,103.43.90.117
0.194123500,147,192.168.0.119,103.43.90.117
0.194346200,153,192.168.0.119,103.43.90.117
0.194481700,635,192.168.0.119,103.43.90.117
0.223187900,54,98.86.18.15,192.168.0.119
0.223187900,54,98.86.18.15,192.168.0.119
0.223187900,93,98.86.18.15,192.168.0.119
0.224163900,267,98.86.18.15,192.168.0.119
0.224163900,85,98.86.18.15,192.168.0.119
0.224201800,54,192.168.0.119,98.86.18.15
0.225284700,89,192.168.0.119,98.86.18.15
0.272188000,328,103.43.90.117,192.168.0.119
0.272188000,132,103.43.90.117,192.168.0.119
0.272188000,1125,103.43.90.117,192.168.0.119
0.272314500,54,192.168.0.119,103.43.90.117
0.273113400,92,192.168.0.119,103.43.90.117
0.274920800,384,192.168.0.119,103.43.90.117
0.352412700,54,103.43.90.117,192.168.0.119
0.357993500,935,103.43.90.117,192.168.0.119
0.360230600,194,192.168.0.119,104.18.34.190
0.367274100,54,104.18.34.190,192.168.0.119
0.400415300,54,192.168.0.119,103.43.90.117
0.416012500,325,142.93.246.110,192.168.0.119
0.416012500,341,142.93.246.110,192.168.0.119
0.416160500,54,192.168.0.119,142.93.246.110
0.433444600,360,104.18.34.190,192.168.0.119
0.437470100,66,192.168.0.119,192.168.0.1
0.437612500,66,192.168.0.119,192.168.0.1
0.469327700,66,192.168.0.1,192.168.0.119
0.469327700,66,192.168.0.1,192.168.0.119
0.469494700,54,192.168.0.119,192.168.0.1
0.469524100,54,192.168.0.119,192.168.0.1
0.470017500,56,192.168.0.119,192.168.0.1
0.470054000,85,192.168.0.119,192.168.0.1
0.470116500,56,192.168.0.119,192.168.0.1
0.470134100,85,192.168.0.119,192.168.0.1
0.486414200,54,192.168.0.119,104.18.34.190
0.501418700,54,192.168.0.1,192.168.0.119
0.501418700,54,192.168.0.1,192.168.0.119
0.501418700,54,192.168.0.1,192.168.0.119
0.501418700,119,192.168.0.1,192.168.0.119
0.501418700,54,192.168.0.1,192.168.0.119
0.501418700,180,192.168.0.1,192.168.0.119
0.501796700,54,192.168.0.119,192.168.0.1
0.502016900,54,192.168.0.119,192.168.0.1
0.502552400,66,192.168.0.119,35.186.253.211
0.533746100,54,192.168.0.1,192.168.0.119
0.533746100,54,192.168.0.1,192.168.0.119
0.533873400,54,192.168.0.119,192.168.0.1
0.534021400,54,192.168.0.119,192.168.0.1
0.534075100,66,192.168.0.119,103.43.90.53
0.534578700,66,35.186.253.211,192.168.0.119
0.534704400,54,192.168.0.119,35.186.253.211
0.535275100,1466,192.168.0.119,35.186.253.211
0.535275100,461,192.168.0.119,35.186.253.211
0.567470500,54,35.186.253.211,192.168.0.119
0.567470500,54,35.186.253.211,192.168.0.119
0.569399600,2878,35.186.253.211,192.168.0.119
0.569399600,1420,35.186.253.211,192.168.0.119
0.569551900,54,192.168.0.119,35.186.253.211
0.571538200,118,192.168.0.119,35.186.253.211
0.571662300,146,192.168.0.119,35.186.253.211
0.571760100,663,192.168.0.119,35.186.253.211
0.595241900,54,98.86.18.15,192.168.0.119
0.603967500,672,35.186.253.211,192.168.0.119
0.603967500,85,35.186.253.211,192.168.0.119
0.604071000,54,192.168.0.119,35.186.253.211
0.604431200,85,192.168.0.119,35.186.253.211
0.610606000,54,35.186.253.211,192.168.0.119
0.636711600,578,35.186.253.211,192.168.0.119
0.637515400,93,192.168.0.119,35.186.253.211
0.639796900,1292,192.168.0.119,35.186.253.211
0.639845900,1292,192.168.0.119,35.186.253.211
0.639961200,281,192.168.0.119,35.186.253.211
0.640964800,54,35.186.253.211,192.168.0.119
0.669590200,54,35.186.253.211,192.168.0.119
0.673183100,82,35.186.253.211,192.168.0.119
0.673183100,1292,35.186.253.211,192.168.0.119
0.673183100,54,35.186.253.211,192.168.0.119
0.674769300,1292,35.186.253.211,192.168.0.119
0.674769300,1292,35.186.253.211,192.168.0.119
0.674769300,1068,35.186.253.211,192.168.0.119
0.675092300,81,192.168.0.119,35.186.253.211
0.675582800,207,192.168.0.119,35.186.253.211
0.707065500,627,35.186.253.211,192.168.0.119
0.707065500,163,35.186.253.211,192.168.0.119
0.707065500,237,35.186.253.211,192.168.0.119
0.707805400,73,192.168.0.119,35.186.253.211
0.707935600,93,192.168.0.119,35.186.253.211
0.709237200,181,192.168.0.119,104.18.34.190
0.716254100,54,104.18.34.190,192.168.0.119
0.732201400,66,35.186.253.211,192.168.0.119
0.746152500,54,35.186.253.211,192.168.0.119
0.783259700,233,104.18.34.190,192.168.0.119
0.787193500,66,192.168.0.119,192.168.0.1
0.787343100,66,192.168.0.119,192.168.0.1
0.797487200,66,192.168.0.119,103.43.90.53
0.819454600,66,192.168.0.1,192.168.0.119
0.819454600,66,192.168.0.1,192.168.0.119
0.819679800,54,192.168.0.119,192.168.0.1
0.819709500,54,192.168.0.119,192.168.0.1
0.819936700,56,192.168.0.119,192.168.0.1
0.819984600,88,192.168.0.119,192.168.0.1
0.820078600,56,192.168.0.119,192.168.0.1
0.820107400,88,192.168.0.119,192.168.0.1
0.828043200,54,192.168.0.119,104.18.34.190
0.851991200,54,192.168.0.1,192.168.0.119
0.851991200,54,192.168.0.1,192.168.0.119
0.851991200,54,192.168.0.1,192.168.0.119
0.851991200,146,192.168.0.1,192.168.0.119
0.851991200,54,192.168.0.1,192.168.0.119
0.851991200,212,192.168.0.1,192.168.0.119
0.852304000,54,192.168.0.119,192.168.0.1
0.852540100,54,192.168.0.119,192.168.0.1
0.852911600,66,192.168.0.119,111.91.0.119
0.884502700,54,192.168.0.1,192.168.0.119
0.884502700,54,192.168.0.1,192.168.0.119
0.884567500,54,192.168.0.119,192.168.0.1
0.884618500,54,192.168.0.119,192.168.0.1
0.904862900,66,111.91.0.119,192.168.0.119
0.905098600,54,192.168.0.119,111.91.0.119
0.905684600,1494,192.168.0.119,111.91.0.119
0.905684600,372,192.168.0.119,111.91.0.119
0.957830000,54,111.91.0.119,192.168.0.119
0.957830000,54,111.91.0.119,192.168.0.119
0.957830000,1494,111.91.0.119,192.168.0.119
0.957964900,54,192.168.0.119,111.91.0.119
0.958736100,1494,111.91.0.119,192.168.0.119
0.958736100,1270,111.91.0.119,192.168.0.119
0.958736100,1494,111.91.0.119,192.168.0.119
0.958791600,54,192.168.0.119,111.91.0.119
0.960472200,1425,111.91.0.119,192.168.0.119
0.962094900,147,192.168.0.119,111.91.0.119
0.962229900,153,192.168.0.119,111.91.0.119
0.962342800,693,192.168.0.119,111.91.0.119
1.015588900,328,111.91.0.119,192.168.0.119
1.015588900,132,111.91.0.119,192.168.0.119
1.015735500,54,192.168.0.119,111.91.0.119
1.016501700,92,192.168.0.119,111.91.0.119
1.017237200,672,111.91.0.119,192.168.0.119
1.019528400,309,192.168.0.119,111.91.0.119
1.072181700,54,111.91.0.119,192.168.0.119
1.074906200,283,111.91.0.119,192.168.0.119
1.074906200,92,111.91.0.119,192.168.0.119
1.075017500,54,192.168.0.119,111.91.0.119
1.078174000,66,192.168.0.119,192.168.0.1
1.078302900,66,192.168.0.119,192.168.0.1
1.111850800,66,192.168.0.1,192.168.0.119
1.111850800,66,192.168.0.1,192.168.0.119
1.111985300,54,192.168.0.119,192.168.0.1
1.112011300,54,192.168.0.119,192.168.0.1
1.112186000,56,192.168.0.119,192.168.0.1
1.112216800,92,192.168.0.119,192.168.0.1
1.112275400,56,192.168.0.119,192.168.0.1
1.112293400,92,192.168.0.119,192.168.0.1
1.145684300,54,192.168.0.1,192.168.0.119
1.145684300,54,192.168.0.1,192.168.0.119
1.145684300,54,192.168.0.1,192.168.0.119
1.145684300,54,192.168.0.1,192.168.0.119
1.145684300,155,192.168.0.1,192.168.0.119
1.145684300,126,192.168.0.1,192.168.0.119
1.146003300,54,192.168.0.119,192.168.0.1
1.146171200,54,192.168.0.119,192.168.0.1
1.146518700,66,192.168.0.119,104.18.26.193
1.154150000,66,104.18.26.193,192.168.0.119
1.154320800,54,192.168.0.119,104.18.26.193
1.154857100,1454,192.168.0.119,104.18.26.193
1.154857100,448,192.168.0.119,104.18.26.193
1.162604000,54,104.18.26.193,192.168.0.119
1.164571100,2934,104.18.26.193,192.168.0.119
1.164571100,702,104.18.26.193,192.168.0.119
1.164679800,54,192.168.0.119,104.18.26.193
1.167358800,118,192.168.0.119,104.18.26.193
1.167496500,146,192.168.0.119,104.18.26.193
1.167595400,665,192.168.0.119,104.18.26.193
1.175336300,582,104.18.26.193,192.168.0.119
1.175336300,54,104.18.26.193,192.168.0.119
1.175336300,85,104.18.26.193,192.168.0.119
1.175387700,54,192.168.0.119,104.18.26.193
1.175599200,85,192.168.0.119,104.18.26.193
1.179312100,54,192.168.0.1,192.168.0.119
