frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,55,192.168.0.119,142.251.223.106
0.030911000,55,192.168.0.119,216.58.196.106
0.049706600,66,142.251.223.106,192.168.0.119
0.061861500,55,192.168.0.119,142.250.193.35
0.062354600,66,216.58.196.106,192.168.0.119
0.093116900,66,142.250.193.35,192.168.0.119
0.203443900,55,192.168.0.119,142.250.193.3
0.235071700,66,142.250.193.3,192.168.0.119
0.296409900,55,192.168.0.119,142.250.70.46
0.350919000,66,142.250.70.46,192.168.0.119
0.510266300,55,192.168.0.119,142.250.192.230
0.544018700,66,142.250.192.230,192.168.0.119
1.440477400,86,192.168.0.119,192.168.0.1
1.440708600,86,192.168.0.119,192.168.0.1
1.474456100,366,192.168.0.1,192.168.0.119
1.475597900,160,192.168.0.1,192.168.0.119
1.476554200,1292,192.168.0.119,142.251.223.142
1.476614100,1292,192.168.0.119,142.251.223.142
1.476643700,1292,192.168.0.119,142.251.223.142
1.476769600,124,192.168.0.119,142.251.223.142
1.509036700,82,142.251.223.142,192.168.0.119
1.509036700,82,142.251.223.142,192.168.0.119
1.509036700,1292,142.251.223.142,192.168.0.119
1.509036700,1292,142.251.223.142,192.168.0.119
1.511999300,1292,142.251.223.142,192.168.0.119
1.511999300,321,142.251.223.142,192.168.0.119
1.511999300,1008,142.251.223.142,192.168.0.119
1.512771800,120,192.168.0.119,142.251.223.142
1.512939500,73,192.168.0.119,142.251.223.142
1.513111500,460,192.168.0.119,142.251.223.142
1.535970300,67,142.251.223.142,192.168.0.119
1.545068000,162,142.251.223.142,192.168.0.119
1.545068000,71,142.251.223.142,192.168.0.119
1.545816800,73,192.168.0.119,142.251.223.142
1.564706400,164,192.168.0.119,192.168.0.105
1.615380900,262,142.251.223.142,192.168.0.119
1.615380900,110,142.251.223.142,192.168.0.119
1.615380900,197,142.251.223.142,192.168.0.119
1.615922900,77,192.168.0.119,142.251.223.142
1.642993300,74,192.168.0.119,142.251.223.142
1.673271000,66,142.251.223.142,192.168.0.119
1.673271000,164,192.168.0.105,192.168.0.119
1.721034300,54,192.168.0.119,192.168.0.105
5.291660000,54,192.168.0.119,224.0.0.22
6.542405900,55,192.168.0.119,4.213.25.241
6.634403800,66,4.213.25.241,192.168.0.119
6.683596200,164,192.168.0.119,192.168.0.105
6.791894000,54,192.168.0.119,224.0.0.22
6.814220100,164,192.168.0.105,192.168.0.119
6.869030700,54,192.168.0.119,192.168.0.105
8.290430800,54,192.168.0.119,224.0.0.22
11.236378800,71,192.168.0.119,172.217.26.36
11.286996000,67,172.217.26.36,192.168.0.119
11.831265000,164,192.168.0.119,192.168.0.105
11.914037900,164,192.168.0.105,192.168.0.119
11.954294600,54,192.168.0.119,192.168.0.105
12.331834600,81,192.168.0.119,192.168.0.1
12.364240700,166,192.168.0.1,192.168.0.119
12.367979200,66,192.168.0.119,204.79.197.203
12.421009500,66,204.79.197.203,192.168.0.119
12.421170200,54,192.168.0.119,204.79.197.203
12.421612900,464,192.168.0.119,204.79.197.203
12.473463400,54,204.79.197.203,192.168.0.119
12.475964300,1494,204.79.197.203,192.168.0.119
12.475964300,1401,204.79.197.203,192.168.0.119
12.476090100,54,192.168.0.119,204.79.197.203
