frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,54,192.168.0.119,224.0.0.22
0.107965400,164,192.168.0.119,192.168.0.105
0.215299900,164,192.168.0.105,192.168.0.119
0.264566800,54,192.168.0.119,192.168.0.105
0.870369700,71,192.168.0.119,142.251.151.119
0.945510200,68,142.251.151.119,192.168.0.119
5.224997300,164,192.168.0.119,192.168.0.105
5.336299000,164,192.168.0.105,192.168.0.119
5.391045700,54,192.168.0.119,192.168.0.105
9.189843700,55,192.168.0.119,172.64.153.66
9.216772400,66,172.64.153.66,192.168.0.119
9.223307000,55,192.168.0.119,34.111.72.164
9.255953000,66,34.111.72.164,192.168.0.119
9.689419100,55,192.168.0.119,34.111.72.164
9.740827000,66,34.111.72.164,192.168.0.119
10.339368300,164,192.168.0.119,192.168.0.105
10.364404900,164,192.168.0.105,192.168.0.119
10.404729000,54,192.168.0.119,192.168.0.105
10.455510800,55,192.168.0.119,142.250.182.106
10.487140700,66,142.250.182.106,192.168.0.119
11.038413100,55,192.168.0.119,185.199.111.154
11.111711000,66,185.199.111.154,192.168.0.119
11.256317600,55,192.168.0.119,34.149.43.113
11.256317100,55,192.168.0.119,34.149.43.113
11.256322100,55,192.168.0.119,34.149.43.113
11.272288400,55,192.168.0.119,34.149.43.113
