frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,54,192.168.0.119,141.226.228.48
1.932564400,164,192.168.0.119,192.168.0.105
1.963064500,168,192.168.0.105,192.168.0.119
1.963724800,164,192.168.0.119,192.168.0.105
1.965118400,164,192.168.0.105,192.168.0.119
2.008919200,54,192.168.0.105,192.168.0.119
2.010546700,54,192.168.0.119,192.168.0.105
4.942135900,148,192.168.0.119,142.250.182.99
4.989344000,69,142.250.182.99,192.168.0.119
5.021407100,74,192.168.0.119,142.250.182.99
5.062915500,157,142.250.182.99,192.168.0.119
5.062915500,64,142.250.182.99,192.168.0.119
5.063446600,77,192.168.0.119,142.250.182.99
5.121295500,66,142.250.182.99,192.168.0.119
6.970151800,164,192.168.0.119,192.168.0.105
7.040505600,54,192.168.0.105,192.168.0.119
7.041969000,164,192.168.0.105,192.168.0.119
7.086409400,54,192.168.0.119,192.168.0.105
10.480367800,71,192.168.0.119,142.251.151.119
10.557255400,68,142.251.151.119,192.168.0.119
