frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,71,192.168.0.119,142.250.193.100
0.045001300,55,192.168.0.119,23.58.120.201
0.045008400,55,192.168.0.119,23.58.120.201
0.054527000,66,23.58.120.201,192.168.0.119
0.054527000,66,23.58.120.201,192.168.0.119
0.057560900,66,142.250.193.100,192.168.0.119
0.518666100,168,192.168.0.105,192.168.0.119
0.519280000,164,192.168.0.119,192.168.0.105
0.567065700,54,192.168.0.105,192.168.0.119
1.113916300,54,192.168.0.119,224.0.0.22
5.532619400,164,192.168.0.119,192.168.0.105
5.617425100,54,192.168.0.105,192.168.0.119
5.621025000,164,192.168.0.105,192.168.0.119
5.676370000,54,192.168.0.119,192.168.0.105
6.604084000,54,192.168.0.119,224.0.0.22
7.563198500,55,192.168.0.119,142.250.183.195
8.613733700,54,192.168.0.119,224.0.0.22
8.665402200,218,192.168.0.119,23.204.254.3
8.665492700,93,192.168.0.119,23.204.254.3
8.675010000,54,23.204.254.3,192.168.0.119
8.675010000,54,23.204.254.3,192.168.0.119
8.694079200,93,23.204.254.3,192.168.0.119
8.742739200,54,192.168.0.119,23.204.254.3
8.958057600,400,23.204.254.3,192.168.0.119
9.002710700,54,192.168.0.119,23.204.254.3
9.003570400,152,23.204.254.3,192.168.0.119
9.004576400,89,192.168.0.119,23.204.254.3
9.014418200,54,23.204.254.3,192.168.0.119
10.631739700,164,192.168.0.119,192.168.0.105
10.739873200,164,192.168.0.105,192.168.0.119
10.790996900,54,192.168.0.119,192.168.0.105
