time,size,direction
0.0,54.0,1.0
1.9870116,66.0,1.0
1.9871416,66.0,1.0
1.9874636,193.0,1.0
1.9875448,1494.0,1.0
1.9875448,500.0,1.0
2.036678,66.0,-1.0
2.036678,66.0,-1.0
2.0368854,54.0,1.0
2.0369251,54.0,1.0
2.0371019,56.0,1.0
2.0371363,97.0,1.0
2.0372094,56.0,1.0
2.0372315,97.0,1.0
2.0468912,164.0,1.0
2.0696002,54.0,-1.0
2.0696002,54.0,-1.0
2.0696002,54.0,-1.0
2.0696002,54.0,-1.0
2.0696002,163.0,-1.0
2.0701574,54.0,1.0
2.0713663,212.0,-1.0
2.0718351,54.0,1.0
2.1030882,54.0,-1.0
2.1030882,54.0,-1.0
2.1031866,54.0,1.0
2.1032625,54.0,1.0
2.1450075,164.0,-1.0
2.1877004,54.0,1.0
2.2028718,55.0,1.0
2.2251775,54.0,-1.0
2.2251775,96.0,-1.0
2.2267801,326.0,-1.0
2.2268446,54.0,1.0
2.2358365,66.0,-1.0
3.1454337,100.0,-1.0
3.1454337,85.0,-1.0
3.1454337,54.0,-1.0
3.1455378,54.0,1.0
3.6828376,100.0,-1.0
3.6828376,85.0,-1.0
3.6828376,54.0,-1.0
3.6829928,54.0,1.0
5.9564237,71.0,1.0
6.0178399,66.0,-1.0
6.8789485,54.0,1.0
6.8947982,54.0,1.0
6.910798,54.0,1.0
6.943065,54.0,1.0
7.1065721,54.0,-1.0
7.1065721,54.0,-1.0
7.1067015,54.0,1.0
7.1068048,54.0,1.0
7.1189237,54.0,-1.0
7.1189953,54.0,1.0
7.1495736,164.0,1.0
7.1545943,54.0,-1.0
7.1547197,54.0,1.0
7.2577039,168.0,-1.0
7.2582991,164.0,1.0
7.261831,164.0,-1.0
7.3026499,54.0,-1.0
7.3140384,54.0,1.0
7.6898204,93.0,-1.0
7.6898204,78.0,-1.0
7.6898204,54.0,-1.0
7.6899875,54.0,1.0
7.6903714,54.0,1.0
7.8214663,54.0,-1.0
8.0451015,55.0,1.0
8.0562325,66.0,-1.0
8.0612308,55.0,1.0
8.0675123,66.0,-1.0
8.0771686,55.0,1.0
8.1264661,66.0,-1.0
8.3458725,55.0,1.0
8.6673972,66.0,-1.0
8.7806712,55.0,1.0
8.79089,66.0,-1.0
8.7966788,55.0,1.0
8.8457874,66.0,-1.0
8.8779386,55.0,1.0
8.8879087,66.0,-1.0
8.9267594,55.0,1.0
8.9336935,66.0,-1.0
8.9959925,55.0,1.0
9.0055553,66.0,-1.0
9.0121821,55.0,1.0
9.021794,66.0,-1.0
9.0928761,55.0,1.0
9.1025959,66.0,-1.0
9.2655064,55.0,1.0
9.2724042,66.0,-1.0
9.3147208,55.0,1.0
9.3242545,66.0,-1.0
9.3786792,55.0,1.0
9.411175,55.0,1.0
9.411175,55.0,1.0
9.4203594,66.0,-1.0
9.4203594,66.0,-1.0
9.5406707,55.0,1.0
9.5505458,66.0,-1.0
9.5891677,55.0,1.0
9.5967055,66.0,-1.0
9.7488724,55.0,1.0
9.7808528,66.0,-1.0
9.7810126,55.0,1.0
9.7908531,66.0,-1.0
9.8624463,55.0,1.0
9.8723476,66.0,-1.0
9.9971258,55.0,1.0
10.0303603,66.0,-1.0
10.0447154,55.0,1.0
10.0563036,66.0,-1.0
10.1099201,55.0,1.0
10.1432765,66.0,-1.0
10.206413,55.0,1.0
10.2389073,66.0,-1.0
10.3304848,55.0,1.0
10.3405826,66.0,-1.0
10.3828376,1292.0,1.0
10.382927,1292.0,1.0
10.3829613,1292.0,1.0
10.3831175,124.0,1.0
10.383349,739.0,1.0
10.4153244,82.0,-1.0
10.4153244,82.0,-1.0
10.4153244,1292.0,-1.0
10.4153244,1292.0,-1.0
10.4174935,1292.0,-1.0
10.4174935,334.0,-1.0
10.4174935,986.0,-1.0
10.4178763,120.0,1.0
10.4179528,73.0,1.0
10.4181465,67.0,-1.0
10.4181465,64.0,-1.0
10.4464468,74.0,1.0
10.4489194,162.0,-1.0
10.4786782,74.0,1.0
10.4868991,570.0,-1.0
10.4868991,64.0,-1.0
10.4874022,77.0,1.0
10.5184498,65.0,-1.0
10.5259683,55.0,1.0
10.5369764,66.0,-1.0
10.6807604,54.0,1.0
10.6811699,54.0,1.0
10.7134473,55.0,1.0
10.7521909,54.0,-1.0
10.7522808,54.0,1.0
10.7544964,54.0,-1.0
10.7545502,54.0,1.0
11.0348232,66.0,-1.0
