time,size,direction
0.0,164.0,1.0
0.0686977,71.0,1.0
0.1072895,164.0,-1.0
0.1258717,68.0,-1.0
0.1488713,54.0,1.0
0.4000289,55.0,1.0
0.4982164,66.0,-1.0
2.3128437,54.0,1.0
3.3160565,54.0,1.0
5.1095743,164.0,1.0
5.1733402,164.0,-1.0
5.2193944,54.0,1.0
7.6126006,97.0,1.0
7.7058035,228.0,-1.0
7.7464404,54.0,1.0
9.1715477,55.0,1.0
9.1997347,66.0,-1.0
9.2183527,55.0,1.0
9.2285231,66.0,-1.0
9.3114976,55.0,1.0
9.3428838,66.0,-1.0
9.5332918,71.0,1.0
9.5913613,66.0,-1.0
10.1764009,164.0,1.0
10.2441187,164.0,-1.0
10.2849424,54.0,1.0
10.7892468,55.0,1.0
10.8218731,66.0,-1.0
