time,size,direction
0.0,164.0,1.0
0.0805375,76.0,1.0
0.0807306,76.0,1.0
0.0808284,54.0,1.0
0.0808537,54.0,1.0
0.089097,164.0,-1.0
0.1131107,227.0,-1.0
0.1131107,174.0,-1.0
0.1137256,66.0,1.0
0.1410262,54.0,1.0
0.2990286,55.0,1.0
0.3467026,66.0,1.0
0.394594,66.0,-1.0
0.394594,66.0,-1.0
0.3947889,54.0,1.0
0.395823,1494.0,1.0
0.395823,451.0,1.0
0.6917547,66.0,-1.0
0.6917547,54.0,-1.0
0.6917547,54.0,-1.0
0.6917547,2934.0,-1.0
0.6917547,1270.0,-1.0
0.6917547,1031.0,-1.0
0.6919877,54.0,1.0
0.6920268,54.0,1.0
0.6926242,1458.0,1.0
0.6926242,487.0,1.0
0.6929988,118.0,1.0
0.6931426,1251.0,1.0
0.6931734,1494.0,1.0
0.6931734,344.0,1.0
0.9728548,212.0,-1.0
0.9728548,54.0,-1.0
0.9729722,54.0,1.0
0.9819321,54.0,-1.0
0.9842408,2862.0,-1.0
0.9842408,1342.0,-1.0
0.9842408,1031.0,-1.0
0.9842408,670.0,-1.0
0.9843939,54.0,1.0
0.9853942,118.0,1.0
1.0389895,54.0,1.0
1.2745106,212.0,-1.0
1.2745833,54.0,1.0
1.5610012,66.0,1.0
1.8164408,66.0,1.0
2.574444,66.0,1.0
2.8312627,66.0,1.0
3.9678912,77.0,1.0
3.9683494,77.0,1.0
3.9685106,136.0,1.0
3.9685451,100.0,1.0
3.9685628,1494.0,1.0
3.9685628,834.0,1.0
4.0007948,227.0,-1.0
4.0007948,278.0,-1.0
4.2518132,54.0,-1.0
4.2518132,100.0,-1.0
4.2518132,260.0,-1.0
4.2519033,54.0,1.0
4.5767514,66.0,1.0
4.8429125,66.0,1.0
5.0944211,164.0,1.0
5.09874,164.0,-1.0
5.1404509,54.0,1.0
8.5907287,66.0,1.0
8.8555638,66.0,1.0
10.0394252,1626.0,-1.0
10.0394252,840.0,-1.0
10.0395469,66.0,1.0
10.979,78.0,-1.0
10.979,54.0,-1.0
10.9791522,54.0,1.0
11.0678173,168.0,-1.0
11.0683275,164.0,1.0
11.1143753,54.0,-1.0
