time,size,direction
0.0,164.0,1.0
0.0809047,164.0,-1.0
0.1248627,54.0,1.0
0.9437324,66.0,1.0
0.9438433,66.0,1.0
0.9441328,189.0,1.0
0.9441882,1266.0,1.0
0.9885146,66.0,-1.0
0.9885146,66.0,-1.0
0.9886467,54.0,1.0
0.9886846,54.0,1.0
0.9888094,56.0,1.0
0.9888364,97.0,1.0
0.988897,56.0,1.0
0.988917,97.0,1.0
1.0214348,54.0,-1.0
1.0214348,54.0,-1.0
1.0214348,54.0,-1.0
1.0214348,54.0,-1.0
1.0214348,163.0,-1.0
1.0214348,212.0,-1.0
1.0216493,54.0,1.0
1.0217919,54.0,1.0
1.0535287,54.0,-1.0
1.0535287,54.0,-1.0
1.0535835,54.0,1.0
1.0536805,54.0,1.0
1.1567756,85.0,1.0
1.1833008,54.0,-1.0
1.1833008,96.0,-1.0
1.1833008,326.0,-1.0
1.1833963,54.0,1.0
1.1897211,210.0,-1.0
1.1913082,66.0,1.0
1.4166419,66.0,-1.0
1.4168481,54.0,1.0
1.42155,529.0,1.0
1.6470772,5814.0,-1.0
1.6470772,525.0,-1.0
1.6472586,54.0,1.0
1.6624619,212.0,1.0
1.662713,141.0,1.0
1.8871624,54.0,-1.0
1.8871624,105.0,-1.0
1.8871624,123.0,-1.0
1.8873241,54.0,1.0
1.8885892,1494.0,1.0
1.8885892,1494.0,1.0
1.8885892,393.0,1.0
1.8886672,92.0,1.0
2.1108501,92.0,-1.0
2.1108501,54.0,-1.0
2.1108501,54.0,-1.0
2.1110079,54.0,1.0
2.1118416,54.0,-1.0
2.1293146,2934.0,-1.0
2.1293146,456.0,-1.0
2.1293146,92.0,-1.0
2.1294544,54.0,1.0
2.8059764,66.0,1.0
2.8061382,66.0,1.0
2.8396534,66.0,-1.0
2.8396534,66.0,-1.0
2.8398628,54.0,1.0
2.8398999,54.0,1.0
2.8402323,56.0,1.0
2.8402829,90.0,1.0
2.8404296,56.0,1.0
2.8404922,90.0,1.0
2.8729466,54.0,-1.0
2.8729466,54.0,-1.0
2.8729466,54.0,-1.0
2.8729466,54.0,-1.0
2.8729466,220.0,-1.0
2.8729466,179.0,-1.0
2.8735144,54.0,1.0
2.8738543,54.0,1.0
2.8742711,66.0,1.0
2.9062307,54.0,-1.0
2.9062307,54.0,-1.0
2.906345,54.0,1.0
2.9064792,54.0,1.0
3.1364738,66.0,1.0
3.1887249,66.0,-1.0
3.1889607,54.0,1.0
3.1896702,1494.0,1.0
3.1896702,623.0,1.0
3.3726475,55.0,1.0
3.4628801,66.0,-1.0
3.4630598,54.0,1.0
3.463897,1494.0,1.0
3.463897,559.0,1.0
3.5033157,54.0,-1.0
3.5033157,2934.0,-1.0
3.5033157,461.0,-1.0
3.5034552,54.0,1.0
3.5049344,118.0,1.0
3.5050644,146.0,1.0
3.5051624,890.0,1.0
3.7889056,54.0,-1.0
3.7889056,54.0,-1.0
3.7889056,2934.0,-1.0
3.7889056,461.0,-1.0
3.7890109,54.0,1.0
3.7899398,118.0,1.0
3.8182232,54.0,-1.0
3.8182232,233.0,-1.0
3.8182232,125.0,-1.0
3.818383,54.0,1.0
3.8186676,85.0,1.0
3.8190098,268.0,-1.0
3.8190098,85.0,-1.0
3.8190431,54.0,1.0
4.1158909,54.0,-1.0
4.1158909,233.0,-1.0
4.1158909,116.0,-1.0
4.1160164,54.0,1.0
4.1729666,54.0,-1.0
5.0879724,164.0,1.0
5.2012106,164.0,-1.0
5.2555473,54.0,1.0
10.2125338,164.0,1.0
10.2374357,164.0,-1.0
10.2907963,54.0,1.0
10.9439312,189.0,1.0
10.9440383,1266.0,1.0
11.1954201,54.0,-1.0
11.1954201,96.0,-1.0
11.1954201,326.0,-1.0
11.1955612,54.0,1.0
