time,size,direction
0.0,164.0,1.0
0.1067437,164.0,-1.0
0.1564569,54.0,1.0
2.8293913,55.0,1.0
3.1420675,66.0,1.0
4.9243299,75.0,1.0
4.9245476,75.0,1.0
4.9738479,91.0,-1.0
4.9738479,132.0,-1.0
4.9749296,1292.0,1.0
4.974985,1292.0,1.0
4.9751043,122.0,1.0
4.9753078,739.0,1.0
5.0063428,82.0,-1.0
5.0075261,1292.0,-1.0
5.0075261,1292.0,-1.0
5.0075261,327.0,-1.0
5.0079214,120.0,1.0
5.0088434,986.0,-1.0
5.0088434,67.0,-1.0
5.0088434,64.0,-1.0
5.0089519,73.0,1.0
5.0363625,74.0,1.0
5.0391581,162.0,-1.0
5.067784,74.0,1.0
5.0799458,570.0,-1.0
5.0799458,64.0,-1.0
5.0802792,77.0,1.0
5.1082144,164.0,1.0
5.1109599,65.0,-1.0
5.1109599,164.0,-1.0
5.1626041,54.0,1.0
7.6713061,140.0,1.0
7.6713765,100.0,1.0
7.6714009,1494.0,1.0
7.6714009,836.0,1.0
8.1062024,54.0,-1.0
8.1062024,100.0,-1.0
8.1062024,54.0,-1.0
8.1062024,260.0,-1.0
8.1063113,54.0,1.0
