time,size,direction
0.0,66.0,-1.0
0.0001157,54.0,1.0
0.0003412,56.0,1.0
0.0003683,84.0,1.0
0.001106,66.0,-1.0
0.0011622,54.0,1.0
0.0014204,56.0,1.0
0.0014774,84.0,1.0
0.0064935,54.0,1.0
0.0311933,54.0,-1.0
0.0311933,54.0,-1.0
0.0311933,223.0,-1.0
0.0314007,54.0,1.0
0.031966,54.0,-1.0
0.0334757,54.0,-1.0
0.0334757,353.0,-1.0
0.0336546,54.0,1.0
0.0339733,66.0,1.0
0.0636552,54.0,-1.0
0.0637454,54.0,1.0
0.0653763,54.0,-1.0
0.0653975,54.0,1.0
0.1119843,58.0,-1.0
0.1122255,54.0,1.0
0.1129942,1494.0,1.0
0.1129942,336.0,1.0
0.1139215,54.0,1.0
0.1303982,1494.0,-1.0
0.1303982,122.0,-1.0
0.1305541,54.0,1.0
0.1313719,134.0,1.0
0.1909909,54.0,-1.0
0.1909909,54.0,-1.0
0.1909909,1494.0,-1.0
0.1909909,1122.0,-1.0
0.1912048,54.0,1.0
0.1941235,147.0,1.0
0.1943462,153.0,1.0
0.1944817,635.0,1.0
0.2231879,54.0,-1.0
0.2231879,54.0,-1.0
0.2231879,93.0,-1.0
0.2241639,267.0,-1.0
0.2241639,85.0,-1.0
0.2242018,54.0,1.0
0.2252847,89.0,1.0
0.272188,328.0,-1.0
0.272188,132.0,-1.0
0.272188,1125.0,-1.0
0.2723145,54.0,1.0
0.2731134,92.0,1.0
0.2749208,384.0,1.0
0.3524127,54.0,-1.0
0.3579935,935.0,-1.0
0.3602306,194.0,1.0
0.3672741,54.0,-1.0
0.4004153,54.0,1.0
0.4160125,325.0,-1.0
0.4160125,341.0,-1.0
0.4161605,54.0,1.0
0.4334446,360.0,-1.0
0.4374701,66.0,1.0
0.4376125,66.0,1.0
0.4693277,66.0,-1.0
0.4693277,66.0,-1.0
0.4694947,54.0,1.0
0.4695241,54.0,1.0
0.4700175,56.0,1.0
0.470054,85.0,1.0
0.4701165,56.0,1.0
0.4701341,85.0,1.0
0.4864142,54.0,1.0
0.5014187,54.0,-1.0
0.5014187,54.0,-1.0
0.5014187,54.0,-1.0
0.5014187,119.0,-1.0
0.5014187,54.0,-1.0
0.5014187,180.0,-1.0
0.5017967,54.0,1.0
0.5020169,54.0,1.0
0.5025524,66.0,1.0
0.5337461,54.0,-1.0
0.5337461,54.0,-1.0
0.5338734,54.0,1.0
0.5340214,54.0,1.0
0.5340751,66.0,1.0
0.5345787,66.0,-1.0
0.5347044,54.0,1.0
0.5352751,1466.0,1.0
0.5352751,461.0,1.0
0.5674705,54.0,-1.0
0.5674705,54.0,-1.0
0.5693996,2878.0,-1.0
0.5693996,1420.0,-1.0
0.5695519,54.0,1.0
0.5715382,118.0,1.0
0.5716623,146.0,1.0
0.5717601,663.0,1.0
0.5952419,54.0,-1.0
0.6039675,672.0,-1.0
0.6039675,85.0,-1.0
0.604071,54.0,1.0
0.6044312,85.0,1.0
0.610606,54.0,-1.0
0.6367116,578.0,-1.0
0.6375154,93.0,1.0
0.6397969,1292.0,1.0
0.6398459,1292.0,1.0
0.6399612,281.0,1.0
0.6409648,54.0,-1.0
0.6695902,54.0,-1.0
0.6731831,82.0,-1.0
0.6731831,1292.0,-1.0
0.6731831,54.0,-1.0
0.6747693,1292.0,-1.0
0.6747693,1292.0,-1.0
0.6747693,1068.0,-1.0
0.6750923,81.0,1.0
0.6755828,207.0,1.0
0.7070655,627.0,-1.0
0.7070655,163.0,-1.0
0.7070655,237.0,-1.0
0.7078054,73.0,1.0
0.7079356,93.0,1.0
0.7092372,181.0,1.0
0.7162541,54.0,-1.0
0.7322014,66.0,-1.0
0.7461525,54.0,-1.0
0.7832597,233.0,-1.0
0.7871935,66.0,1.0
0.7873431,66.0,1.0
0.7974872,66.0,1.0
0.8194546,66.0,-1.0
0.8194546,66.0,-1.0
0.8196798,54.0,1.0
0.8197095,54.0,1.0
0.8199367,56.0,1.0
0.8199846,88.0,1.0
0.8200786,56.0,1.0
0.8201074,88.0,1.0
0.8280432,54.0,1.0
