time,size,direction
0.0,818.0,-1.0
0.0096692,818.0,-1.0
0.0098163,54.0,1.0
0.2032182,80.0,1.0
0.2395417,192.0,-1.0
0.2435691,66.0,1.0
0.2546523,66.0,-1.0
0.2548459,54.0,1.0
0.257379,524.0,1.0
0.2682731,54.0,-1.0
0.2682731,2934.0,-1.0
0.2682731,1270.0,-1.0
0.2682731,1196.0,-1.0
0.2685027,54.0,1.0
0.2717097,134.0,1.0
0.2738399,134.0,1.0
0.273899,169.0,1.0
0.2828219,660.0,-1.0
0.282928,54.0,1.0
0.2835119,54.0,-1.0
0.2852013,115.0,-1.0
0.2852013,85.0,-1.0
0.2852013,211.0,-1.0
0.2852013,85.0,-1.0
0.2853009,54.0,1.0
0.2858643,85.0,1.0
0.286067,54.0,1.0
0.2957913,78.0,-1.0
0.2957913,54.0,-1.0
0.2958504,54.0,1.0
0.3072791,818.0,-1.0
0.3130906,818.0,-1.0
0.3131286,54.0,1.0
1.4408433,168.0,-1.0
1.4414894,164.0,1.0
1.4458207,54.0,-1.0
3.5944136,77.0,1.0
3.6467556,77.0,1.0
3.6573576,197.0,-1.0
3.6616989,66.0,1.0
3.6813629,197.0,-1.0
3.6983257,66.0,-1.0
3.6985317,54.0,1.0
3.6989125,316.0,1.0
3.7342725,54.0,-1.0
3.7342725,369.0,-1.0
3.7740645,54.0,1.0
6.4582674,164.0,1.0
6.5705841,54.0,-1.0
6.5705841,164.0,-1.0
6.619285,54.0,1.0
9.2162479,55.0,1.0
9.6231098,148.0,1.0
9.6928409,70.0,-1.0
9.7310975,74.0,1.0
9.7405148,157.0,-1.0
9.7405148,64.0,-1.0
9.7410711,77.0,1.0
9.7977932,66.0,-1.0
9.9370094,54.0,1.0
9.9374116,66.0,1.0
10.1918327,54.0,-1.0
10.1918914,54.0,1.0
10.2004379,66.0,-1.0
10.2006193,54.0,1.0
10.2030014,613.0,1.0
10.4689215,5814.0,-1.0
10.4689215,657.0,-1.0
10.4691024,54.0,1.0
10.471373,134.0,1.0
10.4714818,1183.0,1.0
10.4715148,1494.0,1.0
10.4715148,1064.0,1.0
10.7343263,54.0,-1.0
10.7343263,157.0,-1.0
10.7344377,54.0,1.0
10.7350739,54.0,-1.0
10.7350739,54.0,-1.0
10.7437582,499.0,-1.0
10.7438639,54.0,1.0
11.581972,164.0,1.0
11.6910814,164.0,-1.0
11.7382076,54.0,1.0
