time,size,direction
0.0,164.0,1.0
0.1135943,164.0,-1.0
0.156564,54.0,1.0
4.8461514,89.0,1.0
4.8939003,226.0,-1.0
4.8946054,66.0,1.0
5.1244758,164.0,1.0
5.1482028,66.0,-1.0
5.1484113,54.0,1.0
5.1494854,266.0,1.0
5.2311485,164.0,-1.0
5.2811258,54.0,1.0
5.4005388,2934.0,-1.0
5.4005388,1409.0,-1.0
5.4007418,54.0,1.0
5.4056963,212.0,1.0
5.6564127,105.0,-1.0
5.6564127,123.0,-1.0
5.6565367,54.0,1.0
5.6619066,141.0,1.0
5.6619689,944.0,1.0
5.6620495,92.0,1.0
5.6621188,1494.0,1.0
5.6621188,1494.0,1.0
5.6621188,1494.0,1.0
5.6621188,1348.0,1.0
5.912151,54.0,-1.0
5.912151,54.0,-1.0
5.912151,54.0,-1.0
5.9203531,92.0,-1.0
5.9711367,54.0,1.0
6.2211472,338.0,-1.0
6.2282998,54.0,1.0
6.4788587,54.0,-1.0
6.4789945,54.0,1.0
10.2401078,164.0,1.0
10.2738713,164.0,-1.0
10.3231346,54.0,1.0
10.357381,54.0,1.0
10.3580688,66.0,1.0
10.4090104,54.0,-1.0
10.4091,54.0,1.0
10.4095869,66.0,-1.0
10.4096739,54.0,1.0
10.4115674,967.0,1.0
10.4667891,2934.0,-1.0
10.4667891,1191.0,-1.0
10.4669527,54.0,1.0
10.4690166,134.0,1.0
10.4692006,688.0,1.0
10.5209924,529.0,-1.0
10.5211365,54.0,1.0
10.5218098,54.0,-1.0
10.6810421,1272.0,-1.0
10.6811775,54.0,1.0
