time,size,direction
0.0,164.0,1.0
0.0237431,164.0,-1.0
0.0779513,54.0,1.0
1.0012318,55.0,1.0
1.4466403,127.0,-1.0
1.4469555,54.0,1.0
1.5012069,54.0,-1.0
1.5013042,54.0,1.0
3.1022128,127.0,-1.0
3.1022128,127.0,-1.0
3.1026832,54.0,1.0
3.1028154,54.0,1.0
3.1350598,54.0,-1.0
3.1350598,54.0,-1.0
3.135206,54.0,1.0
3.1352991,54.0,1.0
3.1446451,127.0,-1.0
3.1451847,54.0,1.0
3.1766996,54.0,-1.0
3.1767946,54.0,1.0
3.1992246,127.0,-1.0
3.1996382,54.0,1.0
3.2587635,54.0,-1.0
3.2588495,54.0,1.0
3.4432916,127.0,-1.0
3.4439577,54.0,1.0
3.475943,54.0,-1.0
3.4760269,54.0,1.0
5.0377847,164.0,1.0
5.1284696,164.0,-1.0
5.1784369,54.0,1.0
9.1436801,1286.0,1.0
9.1437582,1292.0,1.0
9.1437883,1292.0,1.0
9.1438179,1292.0,1.0
9.1438445,1148.0,1.0
9.2132371,71.0,-1.0
9.2132371,67.0,-1.0
9.2390857,75.0,1.0
9.2394995,68.0,-1.0
9.2800709,142.0,-1.0
9.2800709,188.0,-1.0
9.2978205,79.0,1.0
9.3741862,68.0,-1.0
9.7583659,54.0,1.0
10.1336335,164.0,1.0
10.1397504,164.0,-1.0
10.1948867,54.0,1.0
