time,size,direction
0.0,164.0,1.0
0.1120437,164.0,-1.0
0.1572775,54.0,1.0
1.7830178,55.0,1.0
1.8083693,66.0,-1.0
1.8785786,55.0,1.0
2.1757175,66.0,-1.0
2.2673837,55.0,1.0
2.3002714,66.0,-1.0
2.7697828,55.0,1.0
2.8048567,66.0,-1.0
3.5234682,55.0,1.0
3.5737417,66.0,-1.0
4.0317696,55.0,1.0
4.0991755,66.0,-1.0
4.1099672,55.0,1.0
4.4231734,66.0,-1.0
4.5057378,55.0,1.0
4.5057383,55.0,1.0
4.5070182,55.0,1.0
4.5223707,55.0,1.0
4.7072694,55.0,1.0
4.7562473,66.0,-1.0
5.1225373,164.0,1.0
5.1249259,164.0,-1.0
5.1720157,54.0,1.0
6.0880982,55.0,1.0
6.1887663,66.0,-1.0
8.3204883,66.0,1.0
8.3207043,66.0,1.0
8.3527243,66.0,-1.0
8.3527243,66.0,-1.0
8.3528869,54.0,1.0
8.3529233,54.0,1.0
8.3530371,56.0,1.0
8.3530751,87.0,1.0
8.3531506,56.0,1.0
8.3531759,87.0,1.0
8.3848301,54.0,-1.0
8.3848301,54.0,-1.0
8.3848301,105.0,-1.0
8.3848301,54.0,-1.0
8.3848301,54.0,-1.0
8.3851192,54.0,1.0
8.3860867,146.0,-1.0
8.3866726,54.0,1.0
8.3873697,1292.0,1.0
8.3874329,1292.0,1.0
8.4152214,117.0,1.0
8.4156889,739.0,1.0
8.4159827,54.0,-1.0
8.4160842,54.0,1.0
8.4185451,54.0,-1.0
8.4185451,82.0,-1.0
8.4185996,54.0,1.0
8.4192765,1292.0,-1.0
8.4208463,1292.0,-1.0
8.4208463,318.0,-1.0
8.4208463,986.0,-1.0
8.4218232,120.0,1.0
8.4220687,73.0,1.0
8.4467854,70.0,-1.0
8.4531883,162.0,-1.0
8.4534848,73.0,1.0
8.5197242,570.0,-1.0
8.5221012,64.0,-1.0
8.5223429,77.0,1.0
8.5539531,65.0,-1.0
8.9395957,55.0,1.0
9.2525347,66.0,-1.0
