time,size,direction
0.0,55.0,1.0
0.1714835,55.0,1.0
0.4748559,55.0,1.0
0.5036333,66.0,-1.0
0.6711959,93.0,-1.0
0.6711959,54.0,-1.0
0.6713537,54.0,1.0
0.6718453,54.0,1.0
0.6816882,54.0,-1.0
0.7823619,93.0,-1.0
0.7823619,54.0,-1.0
0.7825209,54.0,1.0
0.7829767,54.0,1.0
0.7921436,54.0,-1.0
0.8232299,55.0,1.0
0.8555424,55.0,1.0
0.8665366,66.0,-1.0
0.9520796,93.0,-1.0
0.9520796,54.0,-1.0
0.9521745,54.0,1.0
0.9523975,54.0,1.0
0.9576695,93.0,-1.0
0.9576695,54.0,-1.0
0.9577814,54.0,1.0
0.9584033,54.0,1.0
0.9618954,54.0,-1.0
0.9677195,54.0,-1.0
1.1653986,78.0,-1.0
1.1653986,54.0,-1.0
1.1654702,54.0,1.0
1.2621846,78.0,-1.0
1.2621846,54.0,-1.0
1.2622754,54.0,1.0
1.4083853,93.0,-1.0
1.4083853,54.0,-1.0
1.4085021,54.0,1.0
1.4960768,93.0,-1.0
1.4960768,54.0,-1.0
1.4962025,54.0,1.0
1.4964606,54.0,1.0
1.5054054,54.0,-1.0
1.5112496,93.0,-1.0
1.5112496,54.0,-1.0
1.5113339,54.0,1.0
1.5115761,54.0,1.0
1.5212263,54.0,-1.0
1.585652,127.0,-1.0
1.5861452,54.0,1.0
1.6180696,54.0,-1.0
1.6181954,54.0,1.0
1.7197258,93.0,-1.0
1.7197258,54.0,-1.0
1.7198499,54.0,1.0
1.7202598,54.0,1.0
1.729928,54.0,-1.0
1.8212133,164.0,1.0
1.8367662,55.0,1.0
1.9109431,93.0,-1.0
1.9109431,54.0,-1.0
1.9110446,54.0,1.0
1.925629,164.0,-1.0
1.9704308,54.0,1.0
2.0334722,127.0,-1.0
2.0338264,54.0,1.0
2.066459,54.0,-1.0
2.0665549,54.0,1.0
2.1774094,93.0,-1.0
2.1774094,54.0,-1.0
2.1775176,54.0,1.0
2.1777777,54.0,1.0
2.1881296,54.0,-1.0
2.2174605,93.0,-1.0
2.2174605,54.0,-1.0
2.2176219,54.0,1.0
2.2179671,54.0,1.0
2.4551754,54.0,-1.0
2.5886162,55.0,1.0
2.5964414,66.0,-1.0
2.6370008,55.0,1.0
2.6873778,54.0,-1.0
3.1770691,127.0,-1.0
3.1775038,54.0,1.0
3.20903,54.0,-1.0
3.2090894,54.0,1.0
3.3934642,127.0,-1.0
3.3939309,54.0,1.0
3.4249563,54.0,-1.0
3.4250149,54.0,1.0
3.446705,127.0,-1.0
3.446922,54.0,1.0
3.4788766,54.0,-1.0
3.4789362,54.0,1.0
3.4926595,93.0,-1.0
3.4926595,54.0,-1.0
3.4927325,54.0,1.0
3.4929459,54.0,1.0
3.5025321,54.0,-1.0
3.8568231,189.0,1.0
3.8569319,1266.0,1.0
3.9218843,127.0,-1.0
3.9223423,54.0,1.0
3.9546947,54.0,-1.0
3.9548187,54.0,1.0
4.012325,127.0,-1.0
4.0126258,54.0,1.0
4.0450397,54.0,-1.0
4.0451706,54.0,1.0
4.0793535,54.0,-1.0
4.0793535,96.0,-1.0
4.0793535,326.0,-1.0
4.0794866,54.0,1.0
4.4351625,55.0,1.0
4.4351726,55.0,1.0
4.4352229,55.0,1.0
4.441938,66.0,-1.0
4.441938,66.0,-1.0
4.441938,66.0,-1.0
4.5295513,55.0,1.0
4.5620702,66.0,-1.0
5.6762196,55.0,1.0
5.6864639,66.0,-1.0
5.7066895,55.0,1.0
5.716396,66.0,-1.0
6.8162084,93.0,-1.0
6.8162084,54.0,-1.0
6.8163559,54.0,1.0
6.8169695,54.0,1.0
6.8270065,54.0,-1.0
6.9334681,164.0,1.0
7.0462981,164.0,-1.0
7.0886373,54.0,1.0
9.719608,54.0,1.0
12.047876,164.0,1.0
12.1655965,164.0,-1.0
12.2124674,54.0,1.0
