time,size,direction
0.0,164.0,1.0
0.0489687,168.0,-1.0
0.0497664,164.0,1.0
0.0533658,54.0,-1.0
0.0533658,164.0,-1.0
0.1071465,54.0,1.0
3.1810941,71.0,1.0
3.2574621,68.0,-1.0
3.3063037,55.0,1.0
3.3160704,66.0,-1.0
3.3403415,55.0,1.0
3.3502114,66.0,-1.0
3.4540748,55.0,1.0
3.4860197,66.0,-1.0
4.922071,55.0,1.0
4.973197,66.0,-1.0
5.0553486,164.0,1.0
5.1174614,164.0,-1.0
5.158088,54.0,1.0
5.8219557,55.0,1.0
5.8718982,66.0,-1.0
6.6394793,55.0,1.0
6.6888196,66.0,-1.0
6.8431962,86.0,1.0
6.8435079,86.0,1.0
6.8757873,160.0,-1.0
6.8757873,366.0,-1.0
6.8769703,1292.0,1.0
6.8770188,1292.0,1.0
6.8771276,123.0,1.0
6.9091266,82.0,-1.0
6.9091266,1292.0,-1.0
6.9106749,1292.0,-1.0
6.9106749,324.0,-1.0
6.9106749,1008.0,-1.0
6.91132,120.0,1.0
6.9114058,73.0,1.0
6.9115676,460.0,1.0
6.934614,67.0,-1.0
6.9431467,162.0,-1.0
6.9431467,71.0,-1.0
6.943461,73.0,1.0
7.0171679,262.0,-1.0
7.0171679,110.0,-1.0
7.0171679,118.0,-1.0
7.0176236,77.0,1.0
7.0462191,74.0,1.0
7.0741528,66.0,-1.0
