time,size,direction
0.0,66.0,1.0
3.2393306,1292.0,1.0
3.2394175,1292.0,1.0
3.2394664,1292.0,1.0
3.239611,123.0,1.0
3.3090911,82.0,-1.0
3.3090911,82.0,-1.0
3.3101537,1292.0,-1.0
3.3101537,1292.0,-1.0
3.3101537,1292.0,-1.0
3.3101537,321.0,-1.0
3.3101537,986.0,-1.0
3.3106808,120.0,1.0
3.3109272,73.0,1.0
3.3110865,1288.0,1.0
3.3111225,1244.0,1.0
3.3353014,67.0,-1.0
3.3631029,162.0,-1.0
3.3648338,71.0,-1.0
3.3648338,67.0,-1.0
3.365237,74.0,1.0
3.4356899,1288.0,-1.0
3.4356899,1094.0,-1.0
3.4356899,63.0,-1.0
3.4363489,77.0,1.0
3.4618806,74.0,1.0
3.513798,65.0,-1.0
3.7457404,66.0,1.0
4.0059451,66.0,1.0
4.2394958,127.0,-1.0
4.2819054,54.0,1.0
4.7611245,164.0,1.0
4.798232,168.0,-1.0
4.7987056,164.0,1.0
4.8017189,54.0,-1.0
4.8017189,54.0,-1.0
4.8017189,164.0,-1.0
4.8534961,54.0,1.0
9.2951577,110.0,-1.0
9.2951577,54.0,-1.0
9.2952592,54.0,1.0
9.3188468,838.0,-1.0
9.3273778,838.0,-1.0
9.3275158,54.0,1.0
10.1235792,55.0,1.0
10.7687088,168.0,-1.0
10.7695037,164.0,1.0
10.8138439,54.0,-1.0
11.759376,66.0,1.0
12.0204297,66.0,1.0
