time,size,direction
0.0,164.0,1.0
0.1017095,164.0,-1.0
0.1426733,54.0,1.0
3.6985217,140.0,1.0
3.6986116,100.0,1.0
3.6986399,1494.0,1.0
3.6986399,834.0,1.0
4.0966162,1494.0,1.0
4.1293025,54.0,-1.0
4.1293025,100.0,-1.0
4.1293025,54.0,-1.0
4.1293025,259.0,-1.0
4.1295216,54.0,1.0
4.3954888,66.0,-1.0
5.1127302,164.0,1.0
5.2227149,164.0,-1.0
5.2765276,54.0,1.0
7.4055493,1251.0,1.0
7.4056056,1494.0,1.0
7.4056056,273.0,1.0
7.7031183,54.0,-1.0
7.7090158,670.0,-1.0
7.7581467,54.0,1.0
9.2597003,71.0,1.0
9.3167615,66.0,-1.0
10.2253011,164.0,1.0
10.3434211,164.0,-1.0
10.3839242,54.0,1.0
