time,size,direction
0.0,54.0,1.0
0.1079654,164.0,1.0
0.2152999,164.0,-1.0
0.2645668,54.0,1.0
0.8703697,71.0,1.0
0.9455102,68.0,-1.0
5.2249973,164.0,1.0
5.336299,164.0,-1.0
5.3910457,54.0,1.0
9.1898437,55.0,1.0
9.2167724,66.0,-1.0
9.223307,55.0,1.0
9.255953,66.0,-1.0
9.6894191,55.0,1.0
9.740827,66.0,-1.0
10.3393683,164.0,1.0
10.3644049,164.0,-1.0
10.404729,54.0,1.0
10.4555108,55.0,1.0
10.4871407,66.0,-1.0
11.0384131,55.0,1.0
11.111711,66.0,-1.0
11.2563176,55.0,1.0
11.2563171,55.0,1.0
11.2563221,55.0,1.0
11.2722884,55.0,1.0
