time,size,direction
0.0,164.0,-1.0
0.0397268,54.0,1.0
0.1402461,66.0,1.0
0.3573077,66.0,1.0
0.8504495,55.0,1.0
0.8828191,66.0,-1.0
2.1708908,71.0,1.0
2.2026056,67.0,-1.0
2.2037688,86.0,1.0
2.2039145,86.0,1.0
2.2359205,366.0,-1.0
2.2385052,160.0,-1.0
2.2393318,1292.0,1.0
2.2394021,1292.0,1.0
2.2394525,1292.0,1.0
2.2396024,121.0,1.0
2.2722699,82.0,-1.0
2.2722699,82.0,-1.0
2.2730264,1292.0,-1.0
2.2730264,1292.0,-1.0
2.2730264,1292.0,-1.0
2.2730264,326.0,-1.0
2.2735964,120.0,1.0
2.2736705,1008.0,-1.0
2.2737942,465.0,1.0
2.2979709,67.0,-1.0
2.3057376,162.0,-1.0
2.3057376,71.0,-1.0
2.3061152,73.0,1.0
2.3450727,74.0,1.0
2.3822413,309.0,-1.0
2.3822413,167.0,-1.0
2.382706,77.0,1.0
2.4404504,66.0,-1.0
4.1548841,66.0,1.0
4.369056,66.0,1.0
4.9308902,54.0,1.0
4.9314251,66.0,1.0
5.0068959,164.0,1.0
5.1200391,164.0,-1.0
5.1639472,54.0,1.0
5.2058285,66.0,-1.0
5.2059787,54.0,1.0
5.2082901,613.0,1.0
5.2159692,54.0,-1.0
5.2160214,54.0,1.0
5.4319302,54.0,1.0
5.5079716,5814.0,-1.0
5.5079716,658.0,-1.0
5.5080961,54.0,1.0
5.5120928,134.0,1.0
5.5122003,1183.0,1.0
5.5122385,1494.0,1.0
5.5122385,262.0,1.0
5.7801976,54.0,-1.0
5.7801976,54.0,-1.0
5.7864803,157.0,-1.0
5.7865751,54.0,1.0
5.8073024,499.0,-1.0
5.8073693,54.0,1.0
7.6025877,55.0,1.0
7.6075493,54.0,-1.0
10.1306893,164.0,1.0
10.2403658,164.0,-1.0
10.284971,54.0,1.0
11.1510692,55.0,1.0
11.1513232,55.0,1.0
11.1993998,66.0,-1.0
11.1993998,66.0,-1.0
11.4010946,55.0,1.0
11.5003439,66.0,-1.0
11.6355233,71.0,1.0
11.7121269,66.0,-1.0
11.885349,54.0,1.0
11.9146868,78.0,-1.0
11.9146868,54.0,-1.0
11.9147986,54.0,1.0
12.1674988,66.0,1.0
12.3810937,66.0,1.0
12.4278048,62.0,1.0
