time,size,direction
0.0,54.0,1.0
0.5951895,164.0,1.0
0.6992964,164.0,-1.0
0.7545043,54.0,1.0
3.898017,71.0,1.0
3.9767032,66.0,-1.0
4.1453415,217.0,1.0
4.1453998,93.0,1.0
4.1713927,54.0,-1.0
4.1713927,54.0,-1.0
4.1713927,93.0,-1.0
4.2232314,54.0,1.0
4.4374391,399.0,-1.0
4.4374391,152.0,-1.0
4.4375617,54.0,1.0
4.4391438,89.0,1.0
4.4488833,54.0,-1.0
5.4820714,55.0,1.0
5.4916125,66.0,-1.0
5.7143496,164.0,1.0
5.8207839,164.0,-1.0
5.8760756,54.0,1.0
6.8139919,76.0,1.0
6.8704936,76.0,1.0
6.8797452,250.0,-1.0
6.8809386,66.0,1.0
6.9030218,250.0,-1.0
7.1341568,66.0,-1.0
7.1343522,54.0,1.0
7.1368368,502.0,1.0
7.3910956,8694.0,-1.0
7.3910956,468.0,-1.0
7.3912818,54.0,1.0
7.399303,212.0,1.0
7.652614,105.0,-1.0
7.6538146,1474.0,1.0
7.6538146,693.0,1.0
7.9060092,54.0,-1.0
7.9120471,832.0,-1.0
7.9228651,105.0,1.0
7.9552272,159.0,-1.0
7.9558315,66.0,1.0
7.9601211,54.0,1.0
8.2000354,66.0,-1.0
8.20025,54.0,1.0
8.202706,531.0,1.0
8.449852,7254.0,-1.0
8.449852,466.0,-1.0
8.4500658,54.0,1.0
8.4575801,134.0,1.0
8.4576682,765.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.4577855,1494.0,1.0
8.7015759,54.0,-1.0
8.7015759,157.0,-1.0
8.7015759,54.0,-1.0
8.7015759,54.0,-1.0
8.701769,1494.0,1.0
8.701769,1494.0,1.0
8.701769,1494.0,1.0
8.701769,1494.0,1.0
8.701769,1494.0,1.0
8.7024022,54.0,-1.0
8.7024022,54.0,-1.0
8.7024022,54.0,-1.0
8.7024421,1494.0,1.0
8.7024421,1494.0,1.0
8.7024421,1494.0,1.0
8.7024421,1494.0,1.0
8.7024421,1494.0,1.0
8.7024421,1494.0,1.0
8.7034326,54.0,-1.0
8.7034326,54.0,-1.0
8.7034326,54.0,-1.0
8.7034326,54.0,-1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.7034656,1494.0,1.0
8.9462265,54.0,-1.0
8.9462265,54.0,-1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9462993,1494.0,1.0
8.9472096,54.0,-1.0
8.9472096,54.0,-1.0
8.9472096,54.0,-1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9472475,1494.0,1.0
8.9481373,54.0,-1.0
8.9481373,54.0,-1.0
8.9481373,54.0,-1.0
8.9481373,54.0,-1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9481844,1494.0,1.0
8.9890805,54.0,-1.0
8.9891458,1494.0,1.0
8.9891458,1494.0,1.0
9.1902599,54.0,-1.0
9.1902599,54.0,-1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.1903935,1494.0,1.0
9.19106,54.0,-1.0
9.19106,54.0,-1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1911067,1494.0,1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1930257,56.0,-1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1931119,1494.0,1.0
9.1939825,56.0,-1.0
9.2114862,1494.0,1.0
9.2114862,1494.0,1.0
9.2114862,1494.0,1.0
9.2114862,1494.0,1.0
9.2114862,1322.0,1.0
9.2327732,56.0,-1.0
9.2328545,1494.0,1.0
9.2328545,1494.0,1.0
9.2328545,1494.0,1.0
9.2328545,1494.0,1.0
9.4339561,56.0,-1.0
9.4339561,56.0,-1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4340387,1494.0,1.0
9.4347129,56.0,-1.0
9.4347129,56.0,-1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4347788,1494.0,1.0
9.4359915,56.0,-1.0
9.4359915,56.0,-1.0
9.4359915,56.0,-1.0
9.4359915,56.0,-1.0
9.4359915,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4375937,56.0,-1.0
9.4385545,56.0,-1.0
9.4385545,56.0,-1.0
9.4385545,56.0,-1.0
9.4385545,56.0,-1.0
9.4394131,56.0,-1.0
9.4394131,56.0,-1.0
9.4394131,56.0,-1.0
9.4394131,56.0,-1.0
9.4404117,56.0,-1.0
9.4404117,56.0,-1.0
9.4404117,56.0,-1.0
9.4404117,56.0,-1.0
9.4413594,56.0,-1.0
9.4413594,56.0,-1.0
9.4413594,56.0,-1.0
9.4413594,56.0,-1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,1494.0,1.0
9.4472051,238.0,1.0
9.4558563,56.0,-1.0
9.4558563,56.0,-1.0
9.4779286,56.0,-1.0
9.4779286,56.0,-1.0
9.5192052,56.0,-1.0
9.6781324,56.0,-1.0
9.6781324,56.0,-1.0
9.679481,56.0,-1.0
9.679481,56.0,-1.0
9.679481,56.0,-1.0
9.679481,56.0,-1.0
9.679481,56.0,-1.0
9.679481,56.0,-1.0
9.6913054,56.0,-1.0
9.6913054,56.0,-1.0
9.6919514,56.0,-1.0
9.6919514,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6942953,56.0,-1.0
9.6948955,56.0,-1.0
9.6948955,56.0,-1.0
9.6948955,56.0,-1.0
9.6948955,56.0,-1.0
9.6948955,56.0,-1.0
9.6964012,56.0,-1.0
9.6964012,56.0,-1.0
9.6964012,56.0,-1.0
9.6986571,56.0,-1.0
9.6986571,56.0,-1.0
9.6986571,56.0,-1.0
9.6986571,56.0,-1.0
9.6986571,56.0,-1.0
9.6986571,56.0,-1.0
9.714453,474.0,-1.0
