time,size,direction
0.0,71.0,1.0
0.0468473,67.0,-1.0
1.4579378,1292.0,1.0
1.4580565,1292.0,1.0
1.4580911,1292.0,1.0
1.4582175,122.0,1.0
1.4584325,740.0,1.0
1.5026142,82.0,-1.0
1.5026142,82.0,-1.0
1.5037821,1292.0,-1.0
1.5037821,1292.0,-1.0
1.5048574,1292.0,-1.0
1.5048574,333.0,-1.0
1.5048574,986.0,-1.0
1.5048574,67.0,-1.0
1.5048574,64.0,-1.0
1.5055708,120.0,1.0
1.5057252,73.0,1.0
1.5309983,74.0,1.0
1.537643,162.0,-1.0
1.5634714,74.0,1.0
1.5783832,570.0,-1.0
1.5783832,64.0,-1.0
1.5789983,77.0,1.0
1.6108803,65.0,-1.0
2.0678351,164.0,1.0
2.1726665,164.0,-1.0
2.2275345,54.0,1.0
2.4953405,86.0,1.0
2.4955423,86.0,1.0
2.5271688,160.0,-1.0
2.5271688,366.0,-1.0
2.5285338,1292.0,1.0
2.5286085,1292.0,1.0
2.5287555,123.0,1.0
2.5625406,82.0,-1.0
2.5625406,1292.0,-1.0
2.5625406,1292.0,-1.0
2.5625406,326.0,-1.0
2.5625406,1008.0,-1.0
2.5635369,120.0,1.0
2.563636,73.0,1.0
2.5638008,460.0,1.0
2.5867691,67.0,-1.0
2.5951224,162.0,-1.0
2.5951224,71.0,-1.0
2.5953743,73.0,1.0
2.6680704,262.0,-1.0
2.6680704,110.0,-1.0
2.6680704,141.0,-1.0
2.6684722,77.0,1.0
2.7014986,74.0,1.0
2.7257833,66.0,-1.0
4.8094534,55.0,1.0
7.1878646,164.0,1.0
7.2929848,164.0,-1.0
7.3426286,54.0,1.0
7.5158232,127.0,-1.0
7.5162356,54.0,1.0
7.5687821,54.0,-1.0
7.5688989,54.0,1.0
12.3072707,164.0,1.0
12.3726155,168.0,-1.0
12.3733436,164.0,1.0
12.3766631,164.0,-1.0
12.4178375,54.0,1.0
12.4181712,54.0,-1.0
